-----------------------------------
数据大于1M,已自动保存: /Serial_Assistant_Cfg/Auto_Save/2024-07-04_19-05-40.txt
-----------------------------------
[19:05:40.912] {A=-19.602,B=-9.60195,C=0.398049,D=10.398,E=20.398,F=30.398,G=40.398,H=50.398,I=60.398,J=70.398}
[19:05:56.611] {A=95.7534,B=105.753,C=115.753,D=125.753,E=135.753,F=145.753,G=155.753,H=165.753,I=175.753,J=185.753}
[19:05:56.618] {A=97.3741,B=107.374,C=117.374,D=127.374,E=137.374,F=147.374,G=157.374,H=167.374,I=177.374,J=187.374}
[19:05:56.631] {A=98.6109,B=108.611,C=118.611,D=128.611,E=138.611,F=148.611,G=158.611,H=168.611,I=178.611,J=188.611}
[19:05:56.649] {A=99.4589,B=109.459,C=119.459,D=129.459,E=139.459,F=149.459,G=159.459,H=169.459,I=179.459,J=189.459}
[19:05:56.650] {A=99.9148,B=109.915,C=119.915,D=129.915,E=139.915,F=149.915,G=159.915,H=169.915,I=179.915,J=189.915}
[19:05:56.667] {A=99.9768,B=109.977,C=119.977,D=129.977,E=139.977,F=149.977,G=159.977,H=169.977,I=179.977,J=189.977}
[19:05:56.667] {A=99.6446,B=109.645,C=119.645,D=129.645,E=139.645,F=149.645,G=159.645,H=169.645,I=179.645,J=189.645}
[19:05:56.683] {A=98.9196,B=108.92,C=118.92,D=128.92,E=138.92,F=148.92,G=158.92,H=168.92,I=178.92,J=188.92}
[19:05:56.689] {A=97.8046,B=107.805,C=117.805,D=127.805,E=137.805,F=147.805,G=157.805,H=167.805,I=177.805,J=187.805}
[19:05:56.702] {A=96.304,B=106.304,C=116.304,D=126.304,E=136.304,F=146.304,G=156.304,H=166.304,I=176.304,J=186.304}
[19:05:56.705] {A=94.4236,B=104.424,C=114.424,D=124.424,E=134.424,F=144.424,G=154.424,H=164.424,I=174.424,J=184.424}
[19:05:56.725] {A=92.1711,B=102.171,C=112.171,D=122.171,E=132.171,F=142.171,G=152.171,H=162.171,I=172.171,J=182.171}
[19:05:56.726] {A=89.5551,B=99.5551,C=109.555,D=119.555,E=129.555,F=139.555,G=149.555,H=159.555,I=169.555,J=179.555}
[19:05:56.736] {A=86.5861,B=96.5861,C=106.586,D=116.586,E=126.586,F=136.586,G=146.586,H=156.586,I=166.586,J=176.586}
[19:05:56.747] {A=83.2756,B=93.2756,C=103.276,D=113.276,E=123.276,F=133.276,G=143.276,H=153.276,I=163.276,J=173.276}
[19:05:56.761] {A=79.6369,B=89.6369,C=99.6369,D=109.637,E=119.637,F=129.637,G=139.637,H=149.637,I=159.637,J=169.637}
[19:05:56.771] {A=75.6842,B=85.6842,C=95.6842,D=105.684,E=115.684,F=125.684,G=135.684,H=145.684,I=155.684,J=165.684}
[19:05:56.782] {A=71.4331,B=81.4331,C=91.4331,D=101.433,E=111.433,F=121.433,G=131.433,H=141.433,I=151.433,J=161.433}
[19:05:56.786] {A=66.9004,B=76.9004,C=86.9004,D=96.9004,E=106.9,F=116.9,G=126.9,H=136.9,I=146.9,J=156.9}
[19:05:56.804] {A=62.1039,B=72.1039,C=82.1039,D=92.1039,E=102.104,F=112.104,G=122.104,H=132.104,I=142.104,J=152.104}
[19:05:56.804] {A=57.0626,B=67.0626,C=77.0626,D=87.0626,E=97.0626,F=107.063,G=117.063,H=127.063,I=137.063,J=147.063}
[19:05:56.813] {A=51.7963,B=61.7963,C=71.7963,D=81.7963,E=91.7963,F=101.796,G=111.796,H=121.796,I=131.796,J=141.796}
[19:05:56.825] {A=46.3258,B=56.3258,C=66.3258,D=76.3258,E=86.3258,F=96.3258,G=106.326,H=116.326,I=126.326,J=136.326}
[19:05:56.845] {A=40.6726,B=50.6726,C=60.6726,D=70.6726,E=80.6726,F=90.6726,G=100.673,H=110.673,I=120.673,J=130.673}
[19:05:56.846] {A=34.8591,B=44.8591,C=54.8591,D=64.8591,E=74.8591,F=84.8591,G=94.8591,H=104.859,I=114.859,J=124.859}
[19:05:56.856] {A=28.9082,B=38.9082,C=48.9082,D=58.9082,E=68.9082,F=78.9082,G=88.9082,H=98.9082,I=108.908,J=118.908}
[19:05:56.867] {A=22.8433,B=32.8433,C=42.8433,D=52.8433,E=62.8433,F=72.8433,G=82.8433,H=92.8433,I=102.843,J=112.843}
[19:05:56.875] {A=16.6883,B=26.6883,C=36.6883,D=46.6883,E=56.6883,F=66.6883,G=76.6883,H=86.6883,I=96.6883,J=106.688}
[19:05:56.887] {A=10.4676,B=20.4676,C=30.4676,D=40.4676,E=50.4676,F=60.4676,G=70.4676,H=80.4676,I=90.4676,J=100.468}
[19:05:56.894] {A=4.20555,B=14.2055,C=24.2055,D=34.2055,E=44.2055,F=54.2055,G=64.2055,H=74.2055,I=84.2055,J=94.2055}
[19:05:56.906] {A=-2.07306,B=7.92694,C=17.9269,D=27.9269,E=37.9269,F=47.9269,G=57.9269,H=67.9269,I=77.9269,J=87.9269}
[19:05:56.915] {A=-8.3435,B=1.6565,C=11.6565,D=21.6565,E=31.6565,F=41.6565,G=51.6565,H=61.6565,I=71.6565,J=81.6565}
[19:05:56.926] {A=-14.581,B=-4.58104,C=5.41896,D=15.419,E=25.419,F=35.419,G=45.419,H=55.419,I=65.419,J=75.419}
[19:05:56.934] {A=-20.7611,B=-10.7611,C=-0.761099,D=9.2389,E=19.2389,F=29.2389,G=39.2389,H=49.2389,I=59.2389,J=69.2389}
[19:05:56.946] {A=-26.8593,B=-16.8593,C=-6.8593,D=3.1407,E=13.1407,F=23.1407,G=33.1407,H=43.1407,I=53.1407,J=63.1407}
[19:05:56.964] {A=-32.8516,B=-22.8516,C=-12.8516,D=-2.85162,E=7.14838,F=17.1484,G=27.1484,H=37.1484,I=47.1484,J=57.1484}
[19:05:56.965] {A=-38.7144,B=-28.7144,C=-18.7144,D=-8.71441,E=1.28559,F=11.2856,G=21.2856,H=31.2856,I=41.2856,J=51.2856}
[19:05:56.975] {A=-44.4246,B=-34.4246,C=-24.4246,D=-14.4246,E=-4.42457,F=5.57543,G=15.5754,H=25.5754,I=35.5754,J=45.5754}
[19:05:56.987] {A=-49.9596,B=-39.9596,C=-29.9596,D=-19.9596,E=-9.95958,F=0.0404202,G=10.0404,H=20.0404,I=30.0404,J=40.0404}
[19:05:57.006] {A=-55.2976,B=-45.2976,C=-35.2976,D=-25.2976,E=-15.2976,F=-5.29763,G=4.70237,H=14.7024,I=24.7024,J=34.7024}
[19:05:57.007] {A=-60.4177,B=-50.4177,C=-40.4177,D=-30.4177,E=-20.4177,F=-10.4177,G=-0.417657,H=9.58234,I=19.5823,J=29.5823}
[19:05:57.017] {A=-65.2995,B=-55.2995,C=-45.2995,D=-35.2995,E=-25.2995,F=-15.2995,G=-5.29949,H=4.70051,I=14.7005,J=24.7005}
[19:05:57.029] {A=-69.9239,B=-59.9239,C=-49.9239,D=-39.9239,E=-29.9239,F=-19.9239,G=-9.92388,H=0.0761238,I=10.0761,J=20.0761}
[19:05:57.037] {A=-74.2726,B=-64.2726,C=-54.2726,D=-44.2726,E=-34.2726,F=-24.2726,G=-14.2726,H=-4.27258,I=5.72742,J=15.7274}
[19:05:57.049] {A=-78.3285,B=-68.3285,C=-58.3285,D=-48.3285,E=-38.3285,F=-28.3285,G=-18.3285,H=-8.32847,I=1.67153,J=11.6715}
[19:05:57.057] {A=-82.0755,B=-72.0755,C=-62.0755,D=-52.0755,E=-42.0755,F=-32.0755,G=-22.0755,H=-12.0755,I=-2.07554,J=7.92446}
[19:05:57.068] {A=-85.499,B=-75.499,C=-65.499,D=-55.499,E=-45.499,F=-35.499,G=-25.499,H=-15.499,I=-5.49903,J=4.50097}
[19:05:57.087] {A=-88.5854,B=-78.5854,C=-68.5854,D=-58.5854,E=-48.5854,F=-38.5854,G=-28.5854,H=-18.5854,I=-8.58543,J=1.41457}
[19:05:57.088] {A=-91.3226,B=-81.3226,C=-71.3226,D=-61.3226,E=-51.3226,F=-41.3226,G=-31.3226,H=-21.3226,I=-11.3226,J=-1.32258}
[19:05:57.097] {A=-93.6997,B=-83.6997,C=-73.6997,D=-63.6997,E=-53.6997,F=-43.6997,G=-33.6997,H=-23.6997,I=-13.6997,J=-3.69969}
[19:05:57.109] {A=-95.7074,B=-85.7074,C=-75.7074,D=-65.7074,E=-55.7074,F=-45.7074,G=-35.7074,H=-25.7074,I=-15.7074,J=-5.70738}
[19:05:57.128] {A=-97.3377,B=-87.3377,C=-77.3377,D=-67.3377,E=-57.3377,F=-47.3377,G=-37.3377,H=-27.3377,I=-17.3377,J=-7.33774}
[19:05:57.129] {A=-98.5843,B=-88.5843,C=-78.5843,D=-68.5843,E=-58.5843,F=-48.5843,G=-38.5843,H=-28.5843,I=-18.5843,J=-8.58434}
[19:05:57.146] {A=-99.4423,B=-89.4423,C=-79.4423,D=-69.4423,E=-59.4423,F=-49.4423,G=-39.4423,H=-29.4423,I=-19.4423,J=-9.44227}
[19:05:57.147] {A=-99.9081,B=-89.9081,C=-79.9081,D=-69.9081,E=-59.9081,F=-49.9081,G=-39.9081,H=-29.9081,I=-19.9081,J=-9.90815}
[19:05:57.163] {A=-99.9801,B=-89.9801,C=-79.9801,D=-69.9801,E=-59.9801,F=-49.9801,G=-39.9801,H=-29.9801,I=-19.9801,J=-9.98013}
[19:05:57.182] {A=-99.6579,B=-89.6579,C=-79.6579,D=-69.6579,E=-59.6579,F=-49.6579,G=-39.6579,H=-29.6579,I=-19.6579,J=-9.65793}
[19:05:57.183] {A=-98.9428,B=-88.9428,C=-78.9428,D=-68.9428,E=-58.9428,F=-48.9428,G=-38.9428,H=-28.9428,I=-18.9428,J=-8.94283}
[19:05:57.184] {A=-97.8376,B=-87.8376,C=-77.8376,D=-67.8376,E=-57.8376,F=-47.8376,G=-37.8376,H=-27.8376,I=-17.8376,J=-7.83765}
[19:05:57.204] {A=-96.3467,B=-86.3467,C=-76.3467,D=-66.3467,E=-56.3467,F=-46.3467,G=-36.3467,H=-26.3467,I=-16.3467,J=-6.34673}
[19:05:57.205] {A=-94.476,B=-84.476,C=-74.476,D=-64.476,E=-54.476,F=-44.476,G=-34.476,H=-24.476,I=-14.476,J=-4.47597}
[19:05:57.215] {A=-92.2327,B=-82.2327,C=-72.2327,D=-62.2327,E=-52.2327,F=-42.2327,G=-32.2327,H=-22.2327,I=-12.2327,J=-2.23272}
[19:05:57.227] {A=-89.6258,B=-79.6258,C=-69.6258,D=-59.6258,E=-49.6258,F=-39.6258,G=-29.6258,H=-19.6258,I=-9.62585,J=0.374151}
[19:05:57.235] {A=-86.6656,B=-76.6656,C=-66.6656,D=-56.6656,E=-46.6656,F=-36.6656,G=-26.6656,H=-16.6656,I=-6.66562,J=3.33438}
[19:05:57.247] {A=-83.3637,B=-73.3637,C=-63.3637,D=-53.3637,E=-43.3637,F=-33.3637,G=-23.3637,H=-13.3637,I=-3.36371,J=6.63629}
[19:05:57.256] {A=-79.7331,B=-69.7331,C=-59.7331,D=-49.7331,E=-39.7331,F=-29.7331,G=-19.7331,H=-9.73313,I=0.266866,J=10.2669}
[19:05:57.268] {A=-75.7882,B=-65.7882,C=-55.7882,D=-45.7882,E=-35.7882,F=-25.7882,G=-15.7882,H=-5.78821,I=4.21179,J=14.2118}
[19:05:57.287] {A=-71.5445,B=-61.5445,C=-51.5445,D=-41.5445,E=-31.5445,F=-21.5445,G=-11.5445,H=-1.54448,I=8.45552,J=18.4555}
[19:05:57.287] {A=-67.0187,B=-57.0187,C=-47.0187,D=-37.0187,E=-27.0187,F=-17.0187,G=-7.01869,H=2.98131,I=12.9813,J=22.9813}
[19:05:57.295] {A=-62.2287,B=-52.2287,C=-42.2287,D=-32.2287,E=-22.2287,F=-12.2287,G=-2.22867,H=7.77133,I=17.7713,J=27.7713}
[19:05:57.306] {A=-57.1933,B=-47.1933,C=-37.1933,D=-27.1933,E=-17.1933,F=-7.19331,G=2.80669,H=12.8067,I=22.8067,J=32.8067}
[19:05:57.326] {A=-51.9325,B=-41.9325,C=-31.9325,D=-21.9325,E=-11.9325,F=-1.93247,G=8.06753,H=18.0675,I=28.0675,J=38.0675}
[19:05:57.327] {A=-46.4669,B=-36.4669,C=-26.4669,D=-16.4669,E=-6.46688,F=3.53312,G=13.5331,H=23.5331,I=33.5331,J=43.5331}
[19:05:57.336] {A=-40.8181,B=-30.8181,C=-20.8181,D=-10.8181,E=-0.818093,F=9.18191,G=19.1819,H=29.1819,I=39.1819,J=49.1819}
[19:05:57.349] {A=-35.0084,B=-25.0084,C=-15.0084,D=-5.00838,E=4.99162,F=14.9916,G=24.9916,H=34.9916,I=44.9916,J=54.9916}
[19:05:57.358] {A=-29.0606,B=-19.0606,C=-9.06064,D=0.939358,E=10.9394,F=20.9394,G=30.9394,H=40.9394,I=50.9394,J=60.9394}
[19:05:57.370] {A=-22.9983,B=-12.9983,C=-2.99833,D=7.00167,E=17.0017,F=27.0017,G=37.0017,H=47.0017,I=57.0017,J=67.0017}
[19:05:57.377] {A=-16.8454,B=-6.84535,C=3.15465,D=13.1546,E=23.1546,F=33.1546,G=43.1546,H=53.1546,I=63.1546,J=73.1546}
[19:05:57.389] {A=-10.626,B=-0.625956,C=9.37404,D=19.374,E=29.374,F=39.374,G=49.374,H=59.374,I=69.374,J=79.374}
[19:05:57.407] {A=-4.36467,B=5.63533,C=15.6353,D=25.6353,E=35.6353,F=45.6353,G=55.6353,H=65.6353,I=75.6353,J=85.6353}
[19:05:57.408] {A=1.91383,B=11.9138,C=21.9138,D=31.9138,E=41.9138,F=51.9138,G=61.9138,H=71.9138,I=81.9138,J=91.9138}
[19:05:57.417] {A=8.18478,B=18.1848,C=28.1848,D=38.1848,E=48.1848,F=58.1848,G=68.1848,H=78.1848,I=88.1848,J=98.1848}
[19:05:57.429] {A=14.4235,B=24.4235,C=34.4235,D=44.4235,E=54.4235,F=64.4235,G=74.4235,H=84.4235,I=94.4235,J=104.423}
[19:05:57.436] {A=20.6053,B=30.6053,C=40.6053,D=50.6053,E=60.6053,F=70.6053,G=80.6053,H=90.6053,I=100.605,J=110.605}
[19:05:57.447] {A=26.7059,B=36.7059,C=46.7059,D=56.7059,E=66.7059,F=76.7059,G=86.7059,H=96.7059,I=106.706,J=116.706}
[19:05:57.467] {A=32.7011,B=42.7011,C=52.7011,D=62.7011,E=72.7011,F=82.7011,G=92.7011,H=102.701,I=112.701,J=122.701}
[19:05:57.469] {A=38.5675,B=48.5675,C=58.5675,D=68.5675,E=78.5675,F=88.5675,G=98.5675,H=108.568,I=118.568,J=128.568}
[19:05:57.479] {A=44.2818,B=54.2818,C=64.2818,D=74.2818,E=84.2818,F=94.2818,G=104.282,H=114.282,I=124.282,J=134.282}
[19:05:57.490] {A=49.8216,B=59.8216,C=69.8216,D=79.8216,E=89.8216,F=99.8216,G=109.822,H=119.822,I=129.822,J=139.822}
[19:05:57.498] {A=55.1649,B=65.1649,C=75.1649,D=85.1649,E=95.1649,F=105.165,G=115.165,H=125.165,I=135.165,J=145.165}
[19:05:57.511] {A=60.2907,B=70.2907,C=80.2907,D=90.2907,E=100.291,F=110.291,G=120.291,H=130.291,I=140.291,J=150.291}
[19:05:57.519] {A=65.1788,B=75.1788,C=85.1788,D=95.1788,E=105.179,F=115.179,G=125.179,H=135.179,I=145.179,J=155.179}
[19:05:57.534] {A=69.8099,B=79.8099,C=89.8099,D=99.8099,E=109.81,F=119.81,G=129.81,H=139.81,I=149.81,J=159.81}
[19:05:57.537] {A=74.1658,B=84.1658,C=94.1658,D=104.166,E=114.166,F=124.166,G=134.166,H=144.166,I=154.166,J=164.166}
[19:05:57.554] {A=78.2294,B=88.2294,C=98.2294,D=108.229,E=118.229,F=128.229,G=138.229,H=148.229,I=158.229,J=168.229}
[19:05:57.555] {A=81.9845,B=91.9845,C=101.984,D=111.984,E=121.984,F=131.984,G=141.984,H=151.984,I=161.984,J=171.984}
[19:05:57.576] {A=85.4163,B=95.4163,C=105.416,D=115.416,E=125.416,F=135.416,G=145.416,H=155.416,I=165.416,J=175.416}
[19:05:57.577] {A=88.5114,B=98.5114,C=108.511,D=118.511,E=128.511,F=138.511,G=148.511,H=158.511,I=168.511,J=178.511}
[19:05:57.594] {A=91.2576,B=101.258,C=111.258,D=121.258,E=131.258,F=141.258,G=151.258,H=161.258,I=171.258,J=181.258}
[19:05:57.595] {A=93.6439,B=103.644,C=113.644,D=123.644,E=133.644,F=143.644,G=153.644,H=163.644,I=173.644,J=183.644}
[19:05:57.610] {A=95.6611,B=105.661,C=115.661,D=125.661,E=135.661,F=145.661,G=155.661,H=165.661,I=175.661,J=185.661}
[19:05:57.632] {A=97.3011,B=107.301,C=117.301,D=127.301,E=137.301,F=147.301,G=157.301,H=167.301,I=177.301,J=187.301}
[19:05:57.632] {A=98.5575,B=108.558,C=118.558,D=128.558,E=138.558,F=148.558,G=158.558,H=168.558,I=178.558,J=188.558}
[19:05:57.640] {A=99.4253,B=109.425,C=119.425,D=129.425,E=139.425,F=149.425,G=159.425,H=169.425,I=179.425,J=189.425}
[19:05:57.652] {A=99.9012,B=109.901,C=119.901,D=129.901,E=139.901,F=149.901,G=159.901,H=169.901,I=179.901,J=189.901}
[19:05:57.656] {A=99.9832,B=109.983,C=119.983,D=129.983,E=139.983,F=149.983,G=159.983,H=169.983,I=179.983,J=189.983}
[19:05:57.675] {A=99.671,B=109.671,C=119.671,D=129.671,E=139.671,F=149.671,G=159.671,H=169.671,I=179.671,J=189.671}
[19:05:57.676] {A=98.9658,B=108.966,C=118.966,D=128.966,E=138.966,F=148.966,G=158.966,H=168.966,I=178.966,J=188.966}
[19:05:57.687] {A=97.8705,B=107.87,C=117.87,D=127.87,E=137.87,F=147.87,G=157.87,H=167.87,I=177.87,J=187.87}
[19:05:57.697] {A=96.3893,B=106.389,C=116.389,D=126.389,E=136.389,F=146.389,G=156.389,H=166.389,I=176.389,J=186.389}
[19:05:57.717] {A=94.528,B=104.528,C=114.528,D=124.528,E=134.528,F=144.528,G=154.528,H=164.528,I=174.528,J=184.528}
[19:05:57.717] {A=92.2941,B=102.294,C=112.294,D=122.294,E=132.294,F=142.294,G=152.294,H=162.294,I=172.294,J=182.294}
[19:05:57.727] {A=89.6964,B=99.6964,C=109.696,D=119.696,E=129.696,F=139.696,G=149.696,H=159.696,I=169.696,J=179.696}
[19:05:57.738] {A=86.745,B=96.745,C=106.745,D=116.745,E=126.745,F=136.745,G=146.745,H=156.745,I=166.745,J=176.745}
[19:05:57.759] {A=83.4516,B=93.4516,C=103.452,D=113.452,E=123.452,F=133.452,G=143.452,H=153.452,I=163.452,J=173.452}
[19:05:57.760] {A=79.8292,B=89.8292,C=99.8292,D=109.829,E=119.829,F=129.829,G=139.829,H=149.829,I=159.829,J=169.829}
[19:05:57.765] {A=75.892,B=85.892,C=95.892,D=105.892,E=115.892,F=125.892,G=135.892,H=145.892,I=155.892,J=165.892}
[19:05:57.781] {A=71.6557,B=81.6557,C=91.6557,D=101.656,E=111.656,F=121.656,G=131.656,H=141.656,I=151.656,J=161.656}
[19:05:57.786] {A=67.1368,B=77.1368,C=87.1368,D=97.1368,E=107.137,F=117.137,G=127.137,H=137.137,I=147.137,J=157.137}
[19:05:57.800] {A=62.3533,B=72.3533,C=82.3533,D=92.3533,E=102.353,F=112.353,G=122.353,H=132.353,I=142.353,J=152.353}
[19:05:57.803] {A=57.3239,B=67.3239,C=77.3239,D=87.3239,E=97.3239,F=107.324,G=117.324,H=127.324,I=137.324,J=147.324}
[19:05:57.821] {A=52.0685,B=62.0685,C=72.0685,D=82.0685,E=92.0685,F=102.069,G=112.069,H=122.069,I=132.069,J=142.069}
[19:05:57.826] {A=46.6078,B=56.6078,C=66.6078,D=76.6078,E=86.6078,F=96.6078,G=106.608,H=116.608,I=126.608,J=136.608}
[19:05:57.842] {A=40.9634,B=50.9634,C=60.9634,D=70.9634,E=80.9634,F=90.9634,G=100.963,H=110.963,I=120.963,J=130.963}
[19:05:57.847] {A=35.1575,B=45.1575,C=55.1575,D=65.1575,E=75.1575,F=85.1575,G=95.1575,H=105.158,I=115.158,J=125.158}
[19:05:57.854] {A=29.213,B=39.213,C=49.213,D=59.213,E=69.213,F=79.213,G=89.213,H=99.213,I=109.213,J=119.213}
[19:05:57.869] {A=23.1533,B=33.1533,C=43.1533,D=53.1533,E=63.1533,F=73.1533,G=83.1533,H=93.1533,I=103.153,J=113.153}
[19:05:57.874] {A=17.0023,B=27.0023,C=37.0023,D=47.0023,E=57.0023,F=67.0023,G=77.0023,H=87.0023,I=97.0023,J=107.002}
[19:05:57.890] {A=10.7843,B=20.7843,C=30.7843,D=40.7843,E=50.7843,F=60.7843,G=70.7843,H=80.7843,I=90.7843,J=100.784}
[19:05:57.898] {A=4.52378,B=14.5238,C=24.5238,D=34.5238,E=44.5238,F=54.5238,G=64.5238,H=74.5238,I=84.5238,J=94.5238}
[19:05:57.914] {A=-1.75459,B=8.24541,C=18.2454,D=28.2454,E=38.2454,F=48.2454,G=58.2454,H=68.2454,I=78.2454,J=88.2454}
[19:05:57.915] {A=-8.02604,B=1.97396,C=11.974,D=21.974,E=31.974,F=41.974,G=51.974,H=61.974,I=71.974,J=81.974}
[19:05:57.927] {A=-14.2658,B=-4.26584,C=5.73416,D=15.7342,E=25.7342,F=35.7342,G=45.7342,H=55.7342,I=65.7342,J=75.7342}
[19:05:57.938] {A=-20.4494,B=-10.4494,C=-0.449404,D=9.5506,E=19.5506,F=29.5506,G=39.5506,H=49.5506,I=59.5506,J=69.5506}
[19:05:57.946] {A=-26.5523,B=-16.5523,C=-6.55234,D=3.44766,E=13.4477,F=23.4477,G=33.4477,H=43.4477,I=53.4477,J=63.4477}
[19:05:57.954] {A=-32.5506,B=-22.5506,C=-12.5506,D=-2.5506,E=7.4494,F=17.4494,G=27.4494,H=37.4494,I=47.4494,J=57.4494}
[19:05:57.972] {A=-38.4205,B=-28.4205,C=-18.4205,D=-8.42052,E=1.57948,F=11.5795,G=21.5795,H=31.5795,I=41.5795,J=51.5795}
[19:05:57.980] {A=-44.139,B=-34.139,C=-24.139,D=-14.139,E=-4.13897,F=5.86103,G=15.861,H=25.861,I=35.861,J=45.861}
[19:05:57.990] {A=-49.6834,B=-39.6834,C=-29.6834,D=-19.6834,E=-9.6834,F=0.316603,G=10.3166,H=20.3166,I=30.3166,J=40.3166}
[19:05:57.993] {A=-55.0319,B=-45.0319,C=-35.0319,D=-25.0319,E=-15.0319,F=-5.03195,G=4.96805,H=14.9681,I=24.9681,J=34.9681}
[19:05:58.011] {A=-60.1635,B=-50.1635,C=-40.1635,D=-30.1635,E=-20.1635,F=-10.1635,G=-0.16353,H=9.83647,I=19.8365,J=29.8365}
[19:05:58.019] {A=-65.0579,B=-55.0579,C=-45.0579,D=-35.0579,E=-25.0579,F=-15.0579,G=-5.05792,H=4.94208,I=14.9421,J=24.9421}
[19:05:58.026] {A=-69.6958,B=-59.6958,C=-49.6958,D=-39.6958,E=-29.6958,F=-19.6958,G=-9.69581,H=0.304192,I=10.3042,J=20.3042}
[19:05:58.033] {A=-74.0589,B=-64.0589,C=-54.0589,D=-44.0589,E=-34.0589,F=-24.0589,G=-14.0589,H=-4.05892,I=5.94108,J=15.9411}
[19:05:58.045] {A=-78.1301,B=-68.1301,C=-58.1301,D=-48.1301,E=-38.1301,F=-28.1301,G=-18.1301,H=-8.13005,I=1.86995,J=11.8699}
[19:05:58.056] {A=-81.8932,B=-71.8932,C=-61.8932,D=-51.8932,E=-41.8932,F=-31.8932,G=-21.8932,H=-11.8932,I=-1.89316,J=8.10684}
[19:05:58.068] {A=-85.3334,B=-75.3334,C=-65.3334,D=-55.3334,E=-45.3334,F=-35.3334,G=-25.3334,H=-15.3334,I=-5.33339,J=4.66661}
[19:05:58.075] {A=-88.4372,B=-78.4372,C=-68.4372,D=-58.4372,E=-48.4372,F=-38.4372,G=-28.4372,H=-18.4372,I=-8.43719,J=1.56281}
[19:05:58.087] {A=-91.1923,B=-81.1923,C=-71.1923,D=-61.1923,E=-51.1923,F=-41.1923,G=-31.1923,H=-21.1923,I=-11.1923,J=-1.19233}
[19:05:58.097] {A=-93.5879,B=-83.5879,C=-73.5879,D=-63.5879,E=-53.5879,F=-43.5879,G=-33.5879,H=-23.5879,I=-13.5879,J=-3.58794}
[19:05:58.109] {A=-95.6146,B=-85.6146,C=-75.6146,D=-65.6146,E=-55.6146,F=-45.6146,G=-35.6146,H=-25.6146,I=-15.6146,J=-5.61457}
[19:05:58.117] {A=-97.2642,B=-87.2642,C=-77.2642,D=-67.2642,E=-57.2642,F=-47.2642,G=-37.2642,H=-27.2642,I=-17.2642,J=-7.26424}
[19:05:58.130] {A=-98.5304,B=-88.5304,C=-78.5304,D=-68.5304,E=-58.5304,F=-48.5304,G=-38.5304,H=-28.5304,I=-18.5304,J=-8.53044}
[19:05:58.137] {A=-99.4082,B=-89.4082,C=-79.4082,D=-69.4082,E=-59.4082,F=-49.4082,G=-39.4082,H=-29.4082,I=-19.4082,J=-9.40817}
[19:05:58.151] {A=-99.894,B=-89.894,C=-79.894,D=-69.894,E=-59.894,F=-49.894,G=-39.894,H=-29.894,I=-19.894,J=-9.89399}
[19:05:58.154] {A=-99.986,B=-89.986,C=-79.986,D=-69.986,E=-59.986,F=-49.986,G=-39.986,H=-29.986,I=-19.986,J=-9.98597}
[19:05:58.164] {A=-99.6838,B=-89.6838,C=-79.6838,D=-69.6838,E=-59.6838,F=-49.6838,G=-39.6838,H=-29.6838,I=-19.6838,J=-9.68375}
[19:05:58.175] {A=-98.9885,B=-88.9885,C=-78.9885,D=-68.9885,E=-58.9885,F=-48.9885,G=-38.9885,H=-28.9885,I=-18.9885,J=-8.98853}
[19:05:58.185] {A=-97.903,B=-87.903,C=-77.903,D=-67.903,E=-57.903,F=-47.903,G=-37.903,H=-27.903,I=-17.903,J=-7.90303}
[19:05:58.198] {A=-96.4316,B=-86.4316,C=-76.4316,D=-66.4316,E=-56.4316,F=-46.4316,G=-36.4316,H=-26.4316,I=-16.4316,J=-6.43155}
[19:05:58.205] {A=-94.5799,B=-84.5799,C=-74.5799,D=-64.5799,E=-54.5799,F=-44.5799,G=-34.5799,H=-24.5799,I=-14.5799,J=-4.57989}
[19:05:58.215] {A=-92.3553,B=-82.3553,C=-72.3553,D=-62.3553,E=-52.3553,F=-42.3553,G=-32.3553,H=-22.3553,I=-12.3553,J=-2.35534}
[19:05:58.224] {A=-89.7667,B=-79.7667,C=-69.7667,D=-59.7667,E=-49.7667,F=-39.7667,G=-29.7667,H=-19.7667,I=-9.76667,J=0.233327}
[19:05:58.234] {A=-86.8241,B=-76.8241,C=-66.8241,D=-56.8241,E=-46.8241,F=-36.8241,G=-26.8241,H=-16.8241,I=-6.8241,J=3.1759}
[19:05:58.251] {A=-83.5392,B=-73.5392,C=-63.5392,D=-53.5392,E=-43.5392,F=-33.5392,G=-23.5392,H=-13.5392,I=-3.53922,J=6.46078}
[19:05:58.257] {A=-79.925,B=-69.925,C=-59.925,D=-49.925,E=-39.925,F=-29.925,G=-19.925,H=-9.92498,I=0.0750242,J=10.075}
[19:05:58.270] {A=-75.9956,B=-65.9956,C=-55.9956,D=-45.9956,E=-35.9956,F=-25.9956,G=-15.9956,H=-5.99563,I=4.00437,J=14.0044}
[19:05:58.273] {A=-71.7667,B=-61.7667,C=-51.7667,D=-41.7667,E=-31.7667,F=-21.7667,G=-11.7667,H=-1.76666,I=8.23334,J=18.2333}
[19:05:58.293] {A=-67.2548,B=-57.2548,C=-47.2548,D=-37.2548,E=-27.2548,F=-17.2548,G=-7.25476,H=2.74524,I=12.7452,J=22.7452}
[19:05:58.294] {A=-62.4777,B=-52.4777,C=-42.4777,D=-32.4777,E=-22.4777,F=-12.4777,G=-2.4777,H=7.5223,I=17.5223,J=27.5223}
